dataset_name,num_salesmen,pop_size,num_gens,pcross,pm,time_measurement,best_fitness,best_f,best_total_cost,best_amplitude,best_x,f_evolution
rat99,3,100000,331,0.8,0.006,146.697,0.001916,522.017056,1564.098286,3.265262,[[0; 11; 12; 21; 20; 29; 28; 39; 48; 57; 58; 66; 67; 76; 75; 83; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 36; 27; 18; 9; 0][0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 50; 51; 52; 61; 70; 79; 80; 71; 62; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 10; 30; 31; 40; 49; 59; 60; 69; 68; 77; 78; 87; 86; 88; 89; 98; 97; 96; 95; 94; 85; 84; 74; 65; 64; 55; 56; 47; 38; 19; 0]],[2372.192451; 1901.324169; 1407.947585; 1323.416865; 1092.593984; 1037.367038; 920.709599; 840.906160; 832.098947; 814.652079; 681.678484; 681.678484; 681.678484; 681.678484; 681.678484; 681.678484; 681.678484; 681.678484; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 648.253036; 620.382252; 620.382252; 620.382252; 620.382252; 620.382252; 620.382252; 620.382252; 620.382252; 620.382252; 616.854391; 616.854391; 616.854391; 612.138368; 612.138368; 612.138368; 605.826672; 602.185938; 602.185938; 602.185938; 602.185938; 602.185938; 602.185938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 593.585938; 592.052197; 592.052197; 592.052197; 592.052197; 592.052197; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 578.149416; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 560.910866; 558.274695; 558.274695; 556.563674; 556.563674; 556.563674; 556.563674; 556.563674; 556.563674; 556.563674; 552.269980; 552.269980; 552.269980; 552.258904; 552.258904; 552.258904; 552.258904; 552.147379; 552.147379; 549.261402; 549.261402; 549.261402; 545.045004; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 538.280614; 537.973591; 537.973591; 537.973591; 535.218407; 535.218407; 535.218407; 535.218407; 535.218407; 535.218407; 535.218407; 535.218407; 532.664452; 532.664452; 532.664452; 531.808230; 531.808230; 531.621501; 531.346353; 531.346353; 531.077913; 531.077913; 530.527517; 530.527517; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 526.796881; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.922766; 524.713086; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 524.106216; 523.817267; 523.817267; 523.817267; 523.817267; 522.104441; 522.104441; 522.104441; 522.104441; 522.104441; 522.104441; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056; 522.017056]
rat99,3,100000,133,0.8,0.016,60.301,0.001917,521.53814,1561.575594,2.062005,[[0; 9; 19; 18; 27; 36; 37; 46; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 83; 75; 74; 65; 64; 55; 56; 47; 38; 28; 29; 20; 12; 11; 0][0; 39; 48; 57; 58; 66; 67; 76; 84; 85; 94; 95; 96; 97; 98; 89; 88; 86; 87; 78; 77; 68; 69; 60; 59; 49; 40; 31; 30; 21; 10; 0][0; 1; 2; 13; 14; 22; 23; 32; 33; 42; 41; 50; 51; 52; 61; 70; 79; 80; 71; 62; 53; 44; 43; 35; 34; 26; 25; 24; 15; 16; 17; 8; 7; 6; 5; 4; 3; 0]],[2372.192451; 1770.344872; 1489.189149; 1128.857128; 935.790189; 913.635293; 835.454543; 795.246814; 756.606611; 720.548957; 698.555498; 682.946968; 682.946968; 643.864923; 624.849746; 624.849746; 624.849746; 619.969839; 619.969839; 607.111810; 583.692660; 583.692660; 583.692660; 583.692660; 579.802227; 579.802227; 579.802227; 569.518629; 569.518629; 569.518629; 556.450438; 556.450438; 550.731907; 550.731907; 549.860226; 549.795500; 542.284199; 541.897286; 541.897286; 540.508113; 539.059927; 539.059927; 539.059927; 538.138651; 538.138651; 536.036576; 536.036576; 536.036576; 534.917787; 533.048723; 526.805202; 526.805202; 526.805202; 526.805202; 526.805202; 525.270738; 525.087572; 524.078919; 523.540376; 523.182924; 523.182924; 523.182924; 522.579011; 522.579011; 522.579011; 522.579011; 521.676168; 521.676168; 521.676168; 521.676168; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140; 521.538140]
rat99,3,500000,50,0.8,0.01,110.547,0.001928,518.58014,1553.50082,2.213914,[[0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 2; 0][0; 11; 12; 21; 30; 39; 48; 57; 58; 66; 67; 76; 86; 85; 94; 95; 96; 97; 98; 89; 88; 87; 78; 77; 68; 69; 60; 59; 49; 40; 31; 20; 0][0; 9; 18; 27; 36; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 83; 84; 75; 74; 65; 64; 55; 56; 46; 47; 38; 37; 28; 29; 19; 10; 1; 0]],[2346.586555; 1751.488686; 1193.958154; 957.429664; 861.631535; 711.645743; 673.525635; 636.109359; 633.911818; 589.034056; 576.274005; 563.395856; 543.936686; 543.685929; 534.782489; 532.155059; 524.860404; 524.860404; 522.846601; 522.667960; 520.477724; 520.477724; 520.477724; 520.156012; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140]
rat99,3,500000,71,0.8,0.004,158.382,0.001912,523.067615,1565.488314,3.525408,[[0; 1; 2; 13; 14; 15; 23; 24; 25; 34; 33; 42; 50; 51; 52; 61; 60; 68; 69; 70; 79; 80; 71; 62; 53; 44; 43; 35; 26; 16; 17; 8; 7; 6; 5; 4; 3; 0][0; 11; 12; 22; 32; 41; 59; 77; 78; 87; 88; 89; 98; 97; 96; 95; 94; 85; 86; 76; 67; 66; 58; 57; 48; 49; 40; 31; 30; 20; 21; 10; 0][0; 19; 29; 28; 39; 38; 47; 56; 55; 64; 65; 74; 75; 84; 83; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 46; 37; 36; 27; 18; 9; 0]],[2139.146572; 1697.449244; 1185.981543; 986.665808; 762.648447; 734.395396; 689.105246; 653.436012; 613.744686; 604.371484; 586.872225; 565.960872; 552.342659; 546.348680; 533.563817; 533.563817; 530.182259; 528.246639; 528.246639; 528.246639; 526.936007; 526.936007; 526.936007; 525.007145; 525.007145; 525.007145; 524.046620; 524.046620; 523.493590; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.493183; 523.341280; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615; 523.067615]
rat99,3,500000,57,0.8,0.01,122.155,0.001928,518.58014,1554.877581,0.44789,[[0; 9; 19; 18; 27; 36; 45; 46; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 83; 84; 75; 74; 65; 64; 55; 56; 47; 38; 37; 28; 29; 0][0; 1; 10; 20; 30; 39; 48; 57; 58; 66; 67; 76; 86; 85; 94; 95; 96; 97; 98; 89; 88; 87; 78; 77; 68; 69; 60; 59; 49; 40; 31; 21; 12; 11; 0][0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 2; 0]],[2374.900365; 1724.021744; 1113.045615; 1018.886072; 757.298106; 757.298106; 649.783694; 637.124908; 623.011776; 582.156212; 576.352941; 570.001600; 555.488923; 548.431431; 540.603799; 540.603799; 532.454568; 531.246382; 529.927013; 527.570004; 523.442028; 523.442028; 523.442028; 523.182924; 523.182924; 522.032746; 521.552850; 520.470031; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140; 518.580140]
rat99,3,500000,53,0.8,0.01,116.426,0.001914,522.35562,1566.366864,0.556632,[[0; 9; 19; 28; 37; 38; 47; 46; 56; 55; 64; 65; 74; 75; 83; 84; 85; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 36; 27; 18; 0][0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 14; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 12; 11; 10; 0][0; 29; 39; 48; 57; 58; 66; 67; 76; 86; 95; 96; 97; 98; 89; 88; 87; 78; 77; 68; 69; 60; 59; 49; 40; 31; 30; 20; 21; 13; 2; 1; 0]],[2399.450273; 1776.458865; 1173.277192; 932.775585; 830.145055; 728.585509; 679.991430; 647.946792; 606.090403; 600.590325; 577.807163; 563.964325; 560.981074; 541.719864; 541.719864; 538.340820; 535.027621; 533.431662; 530.279047; 528.409106; 525.401010; 525.401010; 525.364582; 524.901764; 523.673509; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620; 522.355620]
rat99,3,500000,49,0.8,0.008,110.99,0.001932,517.723018,1551.852451,0.913205,[[0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 0][0; 2; 11; 12; 21; 20; 30; 31; 40; 49; 59; 60; 69; 68; 77; 78; 87; 88; 89; 98; 97; 96; 95; 86; 76; 67; 66; 58; 57; 48; 47; 38; 39; 29; 0][0; 1; 10; 18; 27; 36; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 94; 85; 84; 83; 75; 74; 65; 64; 55; 56; 46; 37; 28; 19; 9; 0]],[2362.927536; 1691.610122; 1283.402490; 1037.691471; 808.299349; 741.383371; 691.171962; 648.071834; 601.591737; 599.076926; 575.335300; 557.638094; 557.638094; 547.851405; 542.819180; 534.918925; 532.001652; 523.325688; 522.334403; 520.368377; 517.802957; 517.802957; 517.793791; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018]
rat99,3,500000,51,0.8,0.01,112.628,0.001932,517.723018,1548.587381,3.547116,[[0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 0][0; 19; 29; 28; 37; 46; 56; 55; 64; 65; 74; 75; 83; 84; 85; 94; 93; 92; 91; 90; 82; 81; 72; 73; 63; 54; 45; 36; 27; 18; 9; 0][0; 1; 10; 20; 39; 38; 47; 48; 57; 58; 66; 67; 76; 87; 86; 95; 96; 97; 98; 89; 88; 78; 77; 68; 69; 60; 59; 49; 40; 31; 30; 21; 12; 11; 2; 0]],[2373.486771; 1752.960467; 1259.170040; 933.087616; 860.729299; 713.596986; 678.001539; 658.666832; 622.524005; 606.238343; 576.193897; 567.655107; 559.688652; 551.847146; 542.952660; 537.026715; 529.663162; 529.319238; 525.184009; 524.433955; 520.826676; 520.826676; 520.826676; 518.629364; 518.629364; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018]
rat99,3,500000,57,0.8,0.01,121.932,0.001932,517.723018,1551.560747,0.891983,[[0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 0][0; 1; 2; 11; 12; 21; 39; 38; 47; 48; 57; 58; 66; 67; 76; 86; 95; 96; 97; 98; 89; 88; 87; 78; 77; 68; 69; 60; 59; 49; 40; 31; 30; 20; 0][0; 9; 18; 27; 36; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 94; 85; 84; 83; 75; 74; 65; 64; 55; 56; 46; 37; 28; 29; 19; 10; 0]],[2296.033412; 1713.432221; 1276.037131; 941.766751; 810.865107; 747.251439; 675.712938; 646.646784; 613.062222; 593.825151; 572.814181; 569.718716; 558.129193; 550.980835; 539.968189; 537.168718; 533.906801; 528.560102; 523.698798; 523.248012; 520.867608; 520.867608; 520.867608; 520.867608; 520.867608; 520.867608; 520.368377; 520.368377; 519.108889; 518.077587; 518.077587; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018]
rat99,3,500000,59,0.8,0.01,126.908,0.001932,517.723018,1551.25405,1.528154,[[0; 9; 18; 27; 36; 45; 54; 63; 73; 72; 81; 82; 90; 91; 92; 93; 94; 85; 84; 83; 75; 74; 65; 64; 55; 56; 46; 37; 29; 20; 10; 1; 0][0; 3; 4; 5; 6; 7; 8; 17; 16; 15; 24; 25; 26; 34; 35; 43; 44; 53; 62; 71; 80; 79; 70; 61; 52; 51; 50; 41; 42; 33; 32; 23; 22; 14; 13; 0][0; 2; 11; 12; 21; 30; 31; 40; 49; 59; 60; 69; 68; 77; 78; 87; 88; 89; 98; 97; 96; 95; 86; 76; 67; 66; 58; 57; 48; 47; 38; 39; 28; 19; 0]],[2393.466597; 1704.642395; 1209.197737; 960.139389; 791.642532; 749.546543; 650.375055; 644.371744; 618.781588; 598.583392; 580.649104; 579.265839; 558.675982; 547.196973; 540.027877; 535.295352; 534.466005; 530.258185; 530.258185; 527.517702; 525.756399; 524.238450; 523.845884; 523.845884; 520.459799; 519.883624; 519.476135; 519.476135; 519.462859; 518.715384; 518.580140; 518.580140; 518.580140; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018; 517.723018]
